Price sale,Price origin,CPU,Ram,Storage,Screen size,Operating system,URL,Title,dec,Brand,Name
25990000.0,27990000.0,i5,16.0,512.0,15.6,Windows 11,https://philong.com.vn/laptop-gaming-acer-nitro-v-anv15-51-55ca.html,Laptop Gaming Acer Nitro V ANV15-51-55CA,"Intel Core i5-13420H, Ram 16GB, SSD 512GB, RTX 4050 6GB, Màn Hình 15.6 inch FHD, Windows 11)",Gaming,Acer Nitro V ANV15-51-55CA
29990000.0,29990000.0,i7,16.0,512.0,15.6,Windows 11,https://philong.com.vn/laptop-acer-gaming-nitro-v-anv15-51-75gs.html,Laptop Acer Gaming Nitro V ANV15-51-75GS,"Intel Core i7-13620H, RAM 16GB, SSD 512GB, RTX 4050 6GB, Màn Hình 15.6 inch FHD, Windows 11, Black)",Acer,Gaming Nitro V ANV15-51-75GS
25990000.0,27990000.0,"Ultra 7 155H, Ram 32GB LPDDR5X, SSD 1TB, Màn Hình 14 inch OLED WUXGA, VGA Arc Graphics, Windows 11)",32.0,1024.0,14,Windows 11,https://philong.com.vn/laptop-lenovo-ideapad-slim-5-14imh9-83da0020vn-ultra7.html,Laptop Lenovo IdeaPad Slim 5 14IMH9 83DA0020VN,"Ultra 7 155H, Ram 32GB LPDDR5X, SSD 1TB, Màn Hình 14 inch OLED WUXGA, VGA Arc Graphics, Windows 11)",Lenovo,IdeaPad Slim 5 14IMH9 83DA0020VN
20490000.0,21990000.0,"Ultra 5 125H, Ram 16GB LPDDR5X, SSD 512GB, Màn Hình 14 Inch OLED WUXGA, VGA Arc Graphics, Windows 11)",16.0,512.0,14,Windows 11,https://philong.com.vn/laptop-lenovo-ideapad-slim-5-14imh9-83da001nvn-ultra5.html,Laptop Lenovo IdeaPad Slim 5 14IMH9 83DA001NVN,"Ultra 5 125H, Ram 16GB LPDDR5X, SSD 512GB, Màn Hình 14 Inch OLED WUXGA, VGA Arc Graphics, Windows 11)",Lenovo,IdeaPad Slim 5 14IMH9 83DA001NVN
20490000.0,22990000.0,i7,16.0,512.0,15.6,Windows 11,https://philong.com.vn/laptop-dell-van-phong-inspiron-3530-71035574.html,Laptop Dell Inspiron 3530 71035574,"Core i7-1355U, RAM 16GB, SSD 512GB, VGA Intel UHD Graphics, Màn Hình 15.6 inch FHD, Windows 11, Office, Màu Bạc)",Dell,Inspiron 3530 71035574
33490000.0,33490000.0,i9,16.0,512.0,15.6,Windows 11,https://philong.com.vn/laptop-asus-tuf-gaming-f15-fx507vv4-lp382w-core-i9-13900h.html,Laptop Asus TUF Gaming F15 FX507VV4-LP382W,"Core i9-13900H, Ram 16GB, SSD 512GB, RTX 4060 8GB, Màn Hình 15.6inch FHD, Windows 11, Màu Jaeger Gray)",Asus,TUF Gaming F15 FX507VV4-LP382W
39990000.0,39990000.0,Ryzen 7,16.0,512.0,16,Windows 11,https://philong.com.vn/laptop-gaming-acer-nitro-16-phoenix-an16-41-r3sm-amd-ryzen-7-7840hs.html,Laptop Gaming Acer Nitro 16 Phoenix AN16-41-R3SM,"AMD Ryzen 7-7840HS, Ram 16GB, SSD 512GB, đồ họa RTX 4060 8GB, màn hình 16 inch WQXGA, Win 11 bản quyền, màu đen)",Gaming,Acer Nitro 16 Phoenix AN16-41-R3SM
37990000.0,40990000.0,i7,16.0,512.0,15.6,Windows 11,https://philong.com.vn/laptop-dell-gaming-g15-5530-i7h165w11gr4050.html,Laptop Dell Gaming G15 5530 i7H165W11GR4050,"Intel i7-13650HX, Ram 16GB, SSD 512GB, VGA RTX 4050 6GB, Màn Hình 15.6 inch FHD, Windows 11, Office Home Student)",Dell,Gaming G15 5530 i7H165W11GR4050
25190000.0,27490000.0,Ryzen 7,16.0,512.0,15.6,Windows 11,https://philong.com.vn/laptop-dell-gaming-g15-5525-r7h165w11gr3060-amd-ryzen7.html,Laptop Dell Gaming G15 5525 R7H165W11GR3060,"AMD Ryzen 7 6800H, Ram 16GB DDR5, SSD 512GB, VGA RTX 3060 6GB, Màn Hình 15.6 inch FHD, Windows 11 Home, Office Student 2021)",Dell,Gaming G15 5525 R7H165W11GR3060
27229887.21804511,27229887.21804511,i9,16.0,1024.0,16,Windows 11,https://philong.com.vn/laptop-gaming-msi-vector-gp68hx-13vh-252vn-intel-core-i9-13950hx-ram-16gb-ddr5-ssd-1tb-rtx4080-12gb-16-inch-fhd-144hz-win-11-xam.html,Laptop Gaming MSI Vector GP68HX 13VH-252VN,"Intel Core i9-13950HX, Ram 16GB DDR5, SSD 1TB,  RTX4080 12GB, 16 inch FHD+ 144Hz, Win 11, Xám)",Gaming,MSI Vector GP68HX 13VH-252VN
10990000.0,11990000.0,I3,8.0,256,14,Windows 11,https://philong.com.vn/laptop-van-phong-lenovo-v14-g4iru-83a0000hvn.html,Laptop Lenovo V14 G4 IRU 83A0000HVN,"Intel Core I3-1315U, Ram 8GB, 512GB SSD, VGA Intel UHD Graphics, Màn Hình 14 inch FHD)",Lenovo,V14 G4 IRU 83A0000HVN
20990000.0,20990000.0,i5,16.0,512.0,16,Windows 11,https://philong.com.vn/laptop-lenovo-thinkpad-e16-g1-21jn00fkva.html,Laptop Lenovo ThinkPad E16 G1 21JN00FKVA,"Intel Core i5 13500H, RAM 16GB, SSD 512GB, Intel Iris Xe Graphics, Màn Hình 16inch WUXGA, NoOS)",Lenovo,ThinkPad E16 G1 21JN00FKVA
24990000.0,25990000.0,i5,16.0,512.0,15.6,Windows 11,https://philong.com.vn/laptop-gaming-lenovo-loq-15iax9-83gs000rvn.html,Laptop Gaming Lenovo LOQ 15IAX9 83GS000RVN,"Intel Core i5-12450HX, RAM 16GB, SSD 512GB, VGA RTX 4050 6GB, Màn Hình 15.6 Inch Full HD, Windows 11)",Gaming,Lenovo LOQ 15IAX9 83GS000RVN
23490000.0,24990000.0,83E00008VN),8,256,15,Windows 11,https://philong.com.vn/laptop-lenovo-yoga-slim-6-14irh8-83e00008vn.html,Laptop Lenovo Yoga Slim 6 14IRH8,83E00008VN),Lenovo,Yoga Slim 6 14IRH8
27229887.21804511,27229887.21804511,Ryzen 9,16.0,1024.0,13.4,Windows 11,https://philong.com.vn/laptop-gaming-asus-rog-flow-x13-gv302xu-mu223w.html,Laptop Gaming ASUS ROG FLOW X13 GV302XU-MU223W,"AMD Ryzen 9-7940HS, RAM 16GB, SSD 1TB, RTX 4050, Màn Hình 13.4inch WQXGA 165Hz, Windows 11)",Gaming,ASUS ROG FLOW X13 GV302XU-MU223W
